customer_id,customer_name,email,city,state,registration_date
CUST0001,Customer 1,customer1@example.com,Bengaluru,Karnataka,2023-01-26
CUST0002,Customer 2,customer2@example.com,Delhi,Delhi,2023-09-08
CUST0003,Customer 3,customer3@example.com,Mumbai,Maharashtra,2023-05-23
CUST0004,Customer 4,customer4@example.com,Bengaluru,Karnataka,2024-11-23
CUST0005,Customer 5,customer5@example.com,Bengaluru,Karnataka,2024-08-27
CUST0006,Customer 6,customer6@example.com,Kolkata,West Bengal,2023-02-02
CUST0007,Customer 7,customer7@example.com,Hyderabad,Telangana,2023-04-06
CUST0008,Customer 8,customer8@example.com,Mumbai,Maharashtra,2023-08-27
CUST0009,Customer 9,customer9@example.com,Hyderabad,Telangana,2024-07-28
CUST0010,Customer 10,customer10@example.com,Mumbai,Maharashtra,2024-10-27
CUST0011,Customer 11,customer11@example.com,Kolkata,West Bengal,2023-08-14
CUST0012,Customer 12,customer12@example.com,Ahmedabad,Gujarat,2024-08-26
CUST0013,Customer 13,customer13@example.com,Delhi,Delhi,2023-01-07
CUST0014,Customer 14,customer14@example.com,Chennai,Tamil Nadu,2024-12-15
CUST0015,Customer 15,customer15@example.com,Kolkata,West Bengal,2023-12-15
CUST0016,Customer 16,customer16@example.com,Delhi,Delhi,2023-06-09
CUST0017,Customer 17,customer17@example.com,Mumbai,Maharashtra,2023-12-11
CUST0018,Customer 18,customer18@example.com,Bengaluru,Karnataka,2023-04-05
CUST0019,Customer 19,customer19@example.com,Kolkata,West Bengal,2023-04-10
CUST0020,Customer 20,customer20@example.com,Pune,Maharashtra,2023-12-19
CUST0021,Customer 21,customer21@example.com,Delhi,Delhi,2023-02-14
CUST0022,Customer 22,customer22@example.com,Ahmedabad,Gujarat,2024-07-03
CUST0023,Customer 23,customer23@example.com,Bengaluru,Karnataka,2024-01-23
CUST0024,Customer 24,customer24@example.com,Bengaluru,Karnataka,2024-07-19
CUST0025,Customer 25,customer25@example.com,Delhi,Delhi,2024-10-05
CUST0026,Customer 26,customer26@example.com,Pune,Maharashtra,2024-08-14
CUST0027,Customer 27,customer27@example.com,Mumbai,Maharashtra,2024-12-22
CUST0028,Customer 28,customer28@example.com,Bengaluru,Karnataka,2023-02-16
CUST0029,Customer 29,customer29@example.com,Mumbai,Maharashtra,2023-10-24
CUST0030,Customer 30,customer30@example.com,Bengaluru,Karnataka,2023-08-27
CUST0031,Customer 31,customer31@example.com,Bengaluru,Karnataka,2024-01-25
CUST0032,Customer 32,customer32@example.com,Delhi,Delhi,2024-04-09
CUST0033,Customer 33,customer33@example.com,Pune,Maharashtra,2023-06-16
CUST0034,Customer 34,customer34@example.com,Pune,Maharashtra,2023-12-30
CUST0035,Customer 35,customer35@example.com,Mumbai,Maharashtra,2024-11-17
CUST0036,Customer 36,customer36@example.com,Delhi,Delhi,2024-12-19
CUST0037,Customer 37,customer37@example.com,Bengaluru,Karnataka,2024-09-15
CUST0038,Customer 38,customer38@example.com,Chennai,Tamil Nadu,2024-06-30
CUST0039,Customer 39,customer39@example.com,Mumbai,Maharashtra,2023-06-17
CUST0040,Customer 40,customer40@example.com,Ahmedabad,Gujarat,2024-01-24
CUST0041,Customer 41,customer41@example.com,Delhi,Delhi,2024-10-17
CUST0042,Customer 42,customer42@example.com,Mumbai,Maharashtra,2024-12-02
CUST0043,Customer 43,customer43@example.com,Pune,Maharashtra,2023-02-27
CUST0044,Customer 44,customer44@example.com,Mumbai,Maharashtra,2023-02-02
CUST0045,Customer 45,customer45@example.com,Pune,Maharashtra,2024-02-15
CUST0046,Customer 46,customer46@example.com,Delhi,Delhi,2023-03-09
CUST0047,Customer 47,customer47@example.com,Mumbai,Maharashtra,2024-08-03
CUST0048,Customer 48,customer48@example.com,Pune,Maharashtra,2023-08-06
CUST0049,Customer 49,customer49@example.com,Ahmedabad,Gujarat,2024-02-10
CUST0050,Customer 50,customer50@example.com,Ahmedabad,Gujarat,2023-05-27
CUST0051,Customer 51,customer51@example.com,Delhi,Delhi,2023-05-23
CUST0052,Customer 52,customer52@example.com,Mumbai,Maharashtra,2024-07-28
CUST0053,Customer 53,customer53@example.com,Delhi,Delhi,2024-08-21
CUST0054,Customer 54,customer54@example.com,Kolkata,West Bengal,2024-08-20
CUST0055,Customer 55,customer55@example.com,Kolkata,West Bengal,2024-01-06
CUST0056,Customer 56,customer56@example.com,Mumbai,Maharashtra,2023-05-22
CUST0057,Customer 57,customer57@example.com,Ahmedabad,Gujarat,2023-04-04
CUST0058,Customer 58,customer58@example.com,Hyderabad,Telangana,2023-04-23
CUST0059,Customer 59,customer59@example.com,Chennai,Tamil Nadu,2024-10-04
CUST0060,Customer 60,customer60@example.com,Chennai,Tamil Nadu,2024-11-27
CUST0061,Customer 61,customer61@example.com,Kolkata,West Bengal,2024-09-02
CUST0062,Customer 62,customer62@example.com,Bengaluru,Karnataka,2024-01-30
CUST0063,Customer 63,customer63@example.com,Kolkata,West Bengal,2024-09-02
CUST0064,Customer 64,customer64@example.com,Ahmedabad,Gujarat,2024-06-25
CUST0065,Customer 65,customer65@example.com,Delhi,Delhi,2024-07-20
CUST0066,Customer 66,customer66@example.com,Hyderabad,Telangana,2024-11-27
CUST0067,Customer 67,customer67@example.com,Bengaluru,Karnataka,2024-11-29
CUST0068,Customer 68,customer68@example.com,Delhi,Delhi,2024-10-18
CUST0069,Customer 69,customer69@example.com,Pune,Maharashtra,2023-04-25
CUST0070,Customer 70,customer70@example.com,Delhi,Delhi,2024-03-21
CUST0071,Customer 71,customer71@example.com,Chennai,Tamil Nadu,2024-04-09
CUST0072,Customer 72,customer72@example.com,Hyderabad,Telangana,2023-09-27
CUST0073,Customer 73,customer73@example.com,Chennai,Tamil Nadu,2024-06-03
CUST0074,Customer 74,customer74@example.com,Bengaluru,Karnataka,2024-10-02
CUST0075,Customer 75,customer75@example.com,Delhi,Delhi,2024-10-16
CUST0076,Customer 76,customer76@example.com,Mumbai,Maharashtra,2023-06-06
CUST0077,Customer 77,customer77@example.com,Pune,Maharashtra,2023-06-15
